staff,date,shift,weight
N1,2026-05-04,D,5
N1,2026-05-11,D,3
N2,2026-05-05,D,4
N2,2026-05-12,D,3
N3,2026-05-06,D,3
N3,2026-05-13,D,5
N4,2026-05-11,D,5
N4,2026-05-14,E,2
N5,2026-05-12,D,4
N5,2026-05-15,E,2
N6,2026-05-13,D,3
N6,2026-05-07,E,2
N7,2026-05-05,N,5
N7,2026-05-06,D,4
N7,2026-05-14,D,3
N8,2026-05-12,N,4
N8,2026-05-13,D,3
N8,2026-05-15,D,3
N9,2026-05-05,N,5
N9,2026-05-06,N,5
N10,2026-05-05,N,4
N10,2026-05-12,N,4
N11,2026-05-13,N,5
N11,2026-05-15,E,3
N12,2026-05-14,N,4
N12,2026-05-17,E,3
N7,2026-05-09,D,0
N7,2026-05-09,E,0
N7,2026-05-09,N,0
N8,2026-05-09,D,0
N8,2026-05-09,E,0
N8,2026-05-09,N,0
N9,2026-05-10,D,0
N9,2026-05-10,E,0
N9,2026-05-10,N,0
N10,2026-05-10,D,0
N10,2026-05-10,E,0
N10,2026-05-10,N,0
N11,2026-05-16,D,0
N11,2026-05-16,E,0
N11,2026-05-16,N,0
N12,2026-05-16,D,0
N12,2026-05-16,E,0
N12,2026-05-16,N,0
N1,2026-05-17,D,0
N1,2026-05-17,E,0
N1,2026-05-17,N,0
N2,2026-05-17,D,0
N2,2026-05-17,E,0
N2,2026-05-17,N,0
